index,timecode,seconds,frame_file,visual_change,screen_type,motion_observation,likely_production_method,replicable_with,notes_for_doubao_video
23,02:07,127.533,frames_change/023_0207_533_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
24,02:10,130.033,frames_change/024_0210_033_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
25,02:20,140.933,frames_change/025_0220_933_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
26,02:28,148.167,frames_change/026_0228_167_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
27,02:32,152.400,frames_change/027_0232_400_3D 概念-结构解释.jpg,服务器、太空、轨道或结构图变化,3D 概念/结构解释,画面推近或结构部件逐步出现,3D/AE 合成/矢量动画,Motion Canvas/Manim/AI 图后期叠加,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
28,02:39,159.967,frames_change/028_0239_967_3D 概念-结构解释.jpg,服务器、太空、轨道或结构图变化,3D 概念/结构解释,画面推近或结构部件逐步出现,3D/AE 合成/矢量动画,Motion Canvas/Manim/AI 图后期叠加,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
29,02:48,168.800,frames_change/029_0248_800_3D 概念-结构解释.jpg,服务器、太空、轨道或结构图变化,3D 概念/结构解释,画面推近或结构部件逐步出现,3D/AE 合成/矢量动画,Motion Canvas/Manim/AI 图后期叠加,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
30,02:55,175.033,frames_change/030_0255_033_3D 概念-结构解释.jpg,服务器、太空、轨道或结构图变化,3D 概念/结构解释,画面推近或结构部件逐步出现,3D/AE 合成/矢量动画,Motion Canvas/Manim/AI 图后期叠加,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
31,03:04,184.733,frames_change/031_0304_733_3D 概念-结构解释.jpg,服务器、太空、轨道或结构图变化,3D 概念/结构解释,画面推近或结构部件逐步出现,3D/AE 合成/矢量动画,Motion Canvas/Manim/AI 图后期叠加,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
32,03:09,189.533,frames_change/032_0309_533_3D 概念-结构解释.jpg,服务器、太空、轨道或结构图变化,3D 概念/结构解释,画面推近或结构部件逐步出现,3D/AE 合成/矢量动画,Motion Canvas/Manim/AI 图后期叠加,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
33,03:11,191.833,frames_change/033_0311_833_3D 概念-结构解释.jpg,服务器、太空、轨道或结构图变化,3D 概念/结构解释,画面推近或结构部件逐步出现,3D/AE 合成/矢量动画,Motion Canvas/Manim/AI 图后期叠加,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
34,03:15,195.033,frames_change/034_0315_033_3D 概念-结构解释.jpg,服务器、太空、轨道或结构图变化,3D 概念/结构解释,画面推近或结构部件逐步出现,3D/AE 合成/矢量动画,Motion Canvas/Manim/AI 图后期叠加,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
35,04:00,240.233,frames_change/035_0400_233_3D 概念-结构解释.jpg,服务器、太空、轨道或结构图变化,3D 概念/结构解释,画面推近或结构部件逐步出现,3D/AE 合成/矢量动画,Motion Canvas/Manim/AI 图后期叠加,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
36,04:43,283.233,frames_change/036_0443_233_成本-参数信息图.jpg,火箭、数字或参数卡片变化,成本/参数信息图,数字和箭头辅助解释成本,信息图 + 数字动效,D3/Remotion,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
37,04:44,284.733,frames_change/037_0444_733_成本-参数信息图.jpg,火箭、数字或参数卡片变化,成本/参数信息图,数字和箭头辅助解释成本,信息图 + 数字动效,D3/Remotion,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
